vessel_nz,vessel_name,vessel_number,Qmean,Pmean,Pmean/Qmean,R1,R2,Qmean/Pmean
polar_temporal_T127_R,T_polar_temporal_ORG01_T127_R_2775,2775,0.055403804571143786,114885.78534141537,0.0,448075.0,1792300.0,2073608.2337791626
middle_cerebral_anterior_temporal_branch_T119_R,T_middle_cerebral_anterior_temporal_branch_ORG01_T119_R_2730,2730,0.16295458171505972,115141.50106016235,0.0,153827.0,615307.0,706586.4601554886
middle_cerebral_middle_temporal_branch_T121_R,T_middle_cerebral_middle_temporal_branch_ORG01_T121_R_2727,2727,0.1709312577582582,106962.55421550683,0.0,135433.0,541733.0,625763.570796279
artery_of_postcentral_sulcus_T102_R,T_artery_of_postcentral_sulcus_ORG01_T102_R_2732,2732,0.16150074475116322,96711.45156111728,0.0,119822.0,479287.0,598829.7559254488
middle_cerebral_posterior_temporo_occipital_branch_T123_R,T_middle_cerebral_posterior_temporo_occipital_branch_ORG01_T123_R_2731,2731,0.18117606205079703,93502.4743959714,0.0,106482.0,425928.0,516086.2496821227
middle_cerebral_posterior_temporal_branch_T122_R,T_middle_cerebral_posterior_temporal_branch_ORG01_T122_R_2729,2729,0.20246313276557515,98228.44240548287,0.0,106482.0,425928.0,485167.0576450977
anterior_parietal_T100_R,T_anterior_parietal_ORG01_T100_R_2726,2726,0.1250480922958122,95267.66753016613,0.0,153827.0,615307.0,761848.2279985697
posterior_parietal_T129_R,T_posterior_parietal_ORG01_T129_R_2735,2735,0.20763382257664875,93010.41101115533,0.0,95023.7,380095.0,447954.0464888384
middle_cerebral_branch_to_angular_gyrus_T120_R,T_middle_cerebral_branch_to_angular_gyrus_ORG01_T120_R_2734,2734,0.2606871999080403,93442.85011661935,0.0,76527.9,306112.0,358448.1714084241
lateral_occipital_anterior_temporal_branch_T111_R,T_lateral_occipital_anterior_tempotal_branch_ORG01_T111_R_2746,2746,0.4193942271273602,117232.71807499963,0.0,61721.4,246886.0,279528.6880269785
lateral_occipital_intermediate_temporal_branch_T76_R,P_lateral_occipital_intermediate_tempotal_branch_ORG01_T76_R_2747,2747,0.04434774929729682,119621.22281890892,0.0,607317.0,2429270.0,2697345.9693973768
