variable_name,units,comp_env,value,data_reference
r_middle_cerebral_inferior_terminal_branch_R86,metre,systemic,0.0816459e-2,ADAN_218
r_artery_of_postcentral_sulcus_T37_L150,metre,systemic,0.0480986e-2,ADAN_218
r_artery_of_postcentral_sulcus_T102_R88,metre,systemic,0.0480986e-2,ADAN_218
r_middle_cerebral_inferior_terminal_branch_L152,metre,systemic,0.0816459e-2,ADAN_218
r_middle_cerebral_inferior_terminal_branch_R90,metre,systemic,0.0816459e-2,ADAN_218
r_middle_cerebral_posterior_temporal_branch_T58_L154,metre,systemic,0.0500255e-2,ADAN_218
r_middle_cerebral_posterior_temporal_branch_T122_R92,metre,systemic,0.0500255e-2,ADAN_218
r_middle_cerebral_posterior_temporo_occipital_branch_T59_L156,metre,systemic,0.0500255e-2,ADAN_218
r_middle_cerebral_posterior_temporo_occipital_branch_T123_R94,metre,systemic,0.0500255e-2,ADAN_218
r_middle_cerebral_posterior_temporal_branch_T58_L158,metre,systemic,0.0500255e-2,ADAN_218
r_middle_cerebral_posterior_temporal_branch_T122_R96,metre,systemic,0.0500255e-2,ADAN_218
r_middle_cerebral_inferior_terminal_branch_L160,metre,systemic,0.0816459e-2,ADAN_218
r_middle_cerebral_inferior_terminal_branch_R98,metre,systemic,0.0816459e-2,ADAN_218
r_anterior_parietal_T35_L162,metre,systemic,0.0442556e-2,ADAN_218
r_anterior_parietal_T100_R100,metre,systemic,0.0442556e-2,ADAN_218
r_middle_cerebral_inferior_terminal_branch_L164,metre,systemic,0.0816459e-2,ADAN_218
r_middle_cerebral_inferior_terminal_branch_R102,metre,systemic,0.0816459e-2,ADAN_218
r_middle_cerebral_branch_to_angular_gyrus_T56_L166,metre,systemic,0.0558491e-2,ADAN_218
r_middle_cerebral_branch_to_angular_gyrus_T120_R104,metre,systemic,0.0558491e-2,ADAN_218
r_posterior_parietal_T64_L168,metre,systemic,0.0519606e-2,ADAN_218
r_posterior_parietal_T129_R106,metre,systemic,0.0519606e-2,ADAN_218
r_middle_cerebral_branch_to_angular_gyrus_T56_L170,metre,systemic,0.0558491e-2,ADAN_218
r_middle_cerebral_branch_to_angular_gyrus_T120_R108,metre,systemic,0.0558491e-2,ADAN_218
r_callosomarginal_L172,metre,systemic,0.0623142e-2,ADAN_218
r_callosomarginal_R240,metre,systemic,0.0623142e-2,ADAN_218
r_callosomarginal_intermediomedial_frontal_branch_T41_L174,metre,systemic,0.0465585e-2,ADAN_218
r_callosomarginal_intermediomedial_frontal_branch_T106_R242,metre,systemic,0.0465585e-2,ADAN_218
r_callosomarginal_L176,metre,systemic,0.0623142e-2,ADAN_218
r_callosomarginal_R244,metre,systemic,0.0623142e-2,ADAN_218
r_callosomarginal_posteromedial_frontal_branch_T43_L178,metre,systemic,0.0521563e-2,ADAN_218
r_callosomarginal_posteromedial_frontal_branch_T108_R246,metre,systemic,0.0521563e-2,ADAN_218
r_callosomarginal_L180,metre,systemic,0.0623142e-2,ADAN_218
r_callosomarginal_R248,metre,systemic,0.0623142e-2,ADAN_218
r_callosomarginal_cingular_branch_T40_L182,metre,systemic,0.0475194e-2,ADAN_218
r_callosomarginal_cingular_branch_T105_R250,metre,systemic,0.0475194e-2,ADAN_218
r_callosomarginal_L184,metre,systemic,0.0623142e-2,ADAN_218
r_callosomarginal_R252,metre,systemic,0.0623142e-2,ADAN_218
r_callosomarginal_paracentral_branch_T42_L186,metre,systemic,0.0475194e-2,ADAN_218
r_callosomarginal_paracentral_branch_T107_R254,metre,systemic,0.0475194e-2,ADAN_218
r_medial_occipital_L188,metre,systemic,0.0795007e-2,ADAN_218
r_medial_occipital_R256,metre,systemic,0.0795007e-2,ADAN_218
r_medial_occipital_occipitotemporal_branch_T52_L190,metre,systemic,0.0349979e-2,ADAN_218
r_medial_occipital_occipitotemporal_branch_T80_R258,metre,systemic,0.0349979e-2,ADAN_218
r_medial_occipital_L192,metre,systemic,0.0795007e-2,ADAN_218
r_medial_occipital_R260,metre,systemic,0.0795007e-2,ADAN_218
r_medial_occipital_parieto_occipital_branch_T54_L194,metre,systemic,0.0500001e-2,ADAN_218
r_medial_occipital_parieto_occipital_branch_T118_R262,metre,systemic,0.0500001e-2,ADAN_218
r_medial_occipital_parietal_branch_T53_L196,metre,systemic,0.0295002e-2,ADAN_218
r_medial_occipital_parietal_branch_T81_R264,metre,systemic,0.0295002e-2,ADAN_218
r_medial_occipital_parieto_occipital_branch_T54_L198,metre,systemic,0.0500001e-2,ADAN_218
r_medial_occipital_parieto_occipital_branch_T118_R266,metre,systemic,0.0500001e-2,ADAN_218
r_medial_occipital_L200,metre,systemic,0.0795007e-2,ADAN_218
r_medial_occipital_R268,metre,systemic,0.0795007e-2,ADAN_218
r_medial_occipital_calcarine_branch_T51_L202,metre,systemic,0.0349979e-2,ADAN_218
r_medial_occipital_calcarine_branch_T79_R270,metre,systemic,0.0349979e-2,ADAN_218
l_ascending_aorta_A,metre,systemic,15.3234e-03,ADAN_86
l_ascending_aorta_B,metre,systemic,14.796e-03,ADAN_86
l_ascending_aorta_C,metre,systemic,14.796e-03,ADAN_86
l_ascending_aorta_D,metre,systemic,14.796e-03,ADAN_86
l_aortic_arch_C2,metre,systemic,14.796e-03,ADAN_86
l_brachiocephalic_trunk_C4,metre,systemic,47.3822e-03,ADAN_86
l_aortic_arch_C46,metre,systemic,9.60849e-03,ADAN_86
l_aortic_arch_C64,metre,systemic,6.97955e-03,ADAN_86
l_aortic_arch_C94,metre,systemic,43.2111e-03,ADAN_86
l_thoracic_aorta_C96,metre,systemic,9.89803e-03,ADAN_86
l_thoracic_aorta_C100,metre,systemic,7.88038e-03,ADAN_86
l_thoracic_aorta_C104,metre,systemic,15.5561e-03,ADAN_86
l_thoracic_aorta_C108,metre,systemic,5.32705e-03,ADAN_86
l_thoracic_aorta_C112,metre,systemic,121.566e-03,ADAN_86
l_abdominal_aorta_C114,metre,systemic,3.24767e-03,ADAN_86
l_abdominal_aorta_C136,metre,systemic,13.9886e-03,ADAN_86
l_abdominal_aorta_C164,metre,systemic,4.31913e-03,ADAN_86
l_abdominal_aorta_C176,metre,systemic,11.9773e-03,ADAN_86
l_abdominal_aorta_C188,metre,systemic,54.0907e-03,ADAN_86
l_abdominal_aorta_C192,metre,systemic,42.231e-03,ADAN_86
l_posterior_intercostal_T1_R98,metre,systemic,197.232e-03,ADAN_86
l_posterior_intercostal_T1_L102,metre,systemic,178.519e-03,ADAN_86
l_posterior_intercostal_T2_R106,metre,systemic,201.883e-03,ADAN_86
l_posterior_intercostal_T2_L110,metre,systemic,185.547e-03,ADAN_86
l_celiac_trunk_C116,metre,systemic,16.9374e-03,ADAN_86
l_splenic_T2_C118,metre,systemic,3.9576e-03,ADAN_86
l_left_gastric_T3_C120,metre,systemic,94.8344e-03,ADAN_86
l_splenic_T2_C122,metre,systemic,2.79812e-03,ADAN_86
l_dorsal_pancreatic_T1_C124,metre,systemic,33.4687e-03,ADAN_86
l_splenic_T2_C126,metre,systemic,63.2749e-03,ADAN_86
l_common_hepatic_C128,metre,systemic,69.3076e-03,ADAN_86
l_hepatic_artery_proper_C130,metre,systemic,16.8059e-03,ADAN_86
