variable_name,units,value,data_reference
theta_hepatic_artery_proper_C130,dimensionless,0,systemic
R_T_hepatic_artery_proper_left_branch_C132,Js_per_m6,852085000,systemic
C_T_hepatic_artery_proper_left_branch_C132,m6_per_J,6.0253E-11,systemic
R_T_hepatic_artery_proper_right_branch_C134,Js_per_m6,471438000,systemic
C_T_hepatic_artery_proper_right_branch_C134,m6_per_J,1.089E-10,systemic
E_superior_mesenteric_T4_C138,J_per_m3,400000,systemic
l_superior_mesenteric_T4_C138,metre,0.0495492,systemic
r_superior_mesenteric_T4_C138,metre,0.00372737,systemic
theta_superior_mesenteric_T4_C138,dimensionless,180,systemic
R_T_middle_colic_T8_C140,Js_per_m6,2686500000,systemic
C_T_middle_colic_T8_C140,m6_per_J,1.9111E-11,systemic
E_superior_mesenteric_T4_C142,J_per_m3,400000,systemic
l_superior_mesenteric_T4_C142,metre,0.0351664,systemic
r_superior_mesenteric_T4_C142,metre,0.00340146,systemic
theta_superior_mesenteric_T4_C142,dimensionless,180,systemic
R_T_jejunal_3_T10_C144,Js_per_m6,1969520000,systemic
C_T_jejunal_3_T10_C144,m6_per_J,2.6067E-11,systemic
E_superior_mesenteric_T4_C146,J_per_m3,400000,systemic
l_superior_mesenteric_T4_C146,metre,0.0322488,systemic
r_superior_mesenteric_T4_C146,metre,0.00306914,systemic
theta_superior_mesenteric_T4_C146,dimensionless,180,systemic
R_T_jejunal_6_T11_C148,Js_per_m6,1969520000,systemic
C_T_jejunal_6_T11_C148,m6_per_J,2.6067E-11,systemic
E_superior_mesenteric_T4_C150,J_per_m3,400000,systemic
l_superior_mesenteric_T4_C150,metre,0.0167458,systemic
r_superior_mesenteric_T4_C150,metre,0.00285201,systemic
theta_superior_mesenteric_T4_C150,dimensionless,180,systemic
R_T_ileocolic_T9_C152,Js_per_m6,971722000,systemic
C_T_ileocolic_T9_C152,m6_per_J,5.2835E-11,systemic
E_superior_mesenteric_T4_C154,J_per_m3,400000,systemic
l_superior_mesenteric_T4_C154,metre,0.0230546,systemic
r_superior_mesenteric_T4_C154,metre,0.00269257,systemic
theta_superior_mesenteric_T4_C154,dimensionless,180,systemic
R_T_ileal_4_T12_C156,Js_per_m6,1329640000,systemic
C_T_ileal_4_T12_C156,m6_per_J,3.8612E-11,systemic
E_superior_mesenteric_T4_C158,J_per_m3,400000,systemic
l_superior_mesenteric_T4_C158,metre,0.0205397,systemic
r_superior_mesenteric_T4_C158,metre,0.00249385,systemic
theta_superior_mesenteric_T4_C158,dimensionless,180,systemic
R_T_ileal_6_T13_C160,Js_per_m6,1329640000,systemic
C_T_ileal_6_T13_C160,m6_per_J,3.8612E-11,systemic
R_T_superior_mesenteric_T4_C162,Js_per_m6,880745000,systemic
C_T_superior_mesenteric_T4_C162,m6_per_J,5.8292E-11,systemic
E_renal_L166,J_per_m3,400000,systemic
l_renal_L166,metre,0.0220037,systemic
r_renal_L166,metre,0.00273574,systemic
theta_renal_L166,dimensionless,90,systemic
E_renal_anterior_branch_L168,J_per_m3,400000,systemic
l_renal_anterior_branch_L168,metre,0.0108789,systemic
r_renal_anterior_branch_L168,metre,0.00248193,systemic
theta_renal_anterior_branch_L168,dimensionless,90,systemic
R_T_inferior_segmental_T5_L170,Js_per_m6,526057000,systemic
C_T_inferior_segmental_T5_L170,m6_per_J,9.7595E-11,systemic
R_T_superior_segmental_T4_L172,Js_per_m6,526057000,systemic
C_T_superior_segmental_T4_L172,m6_per_J,9.7595E-11,systemic
R_T_renal_posterior_branch_T3_L174,Js_per_m6,931304000,systemic
C_T_renal_posterior_branch_T3_L174,m6_per_J,5.5127E-11,systemic
E_renal_R178,J_per_m3,400000,systemic
l_renal_R178,metre,0.0377403,systemic
r_renal_R178,metre,0.00296767,systemic
theta_renal_R178,dimensionless,90,systemic
E_renal_anterior_branch_R180,J_per_m3,400000,systemic
l_renal_anterior_branch_R180,metre,0.0108792,systemic
r_renal_anterior_branch_R180,metre,0.00248193,systemic
theta_renal_anterior_branch_R180,dimensionless,90,systemic
R_T_superior_segmental_T4_R182,Js_per_m6,527823000,systemic
C_T_superior_segmental_T4_R182,m6_per_J,9.7268E-11,systemic
R_T_inferior_segmental_T5_R184,Js_per_m6,527823000,systemic
C_T_inferior_segmental_T5_R184,m6_per_J,9.7268E-11,systemic
R_T_renal_posterior_branch_T3_R186,Js_per_m6,934431000,systemic
C_T_renal_posterior_branch_T3_R186,m6_per_J,5.4943E-11,systemic
R_T_inferior_mesenteric_T5_C190,Js_per_m6,2167460000,systemic
C_T_inferior_mesenteric_T5_C190,m6_per_J,2.3687E-11,systemic
E_subclavian_R28,J_per_m3,400000,systemic
l_subclavian_R28,metre,0.0157469,systemic
r_subclavian_R28,metre,0.00452027,systemic
theta_subclavian_R28,dimensionless,90,systemic
E_subclavian_R30,J_per_m3,400000,systemic
l_subclavian_R30,metre,0.0411419,systemic
r_subclavian_R30,metre,0.00332268,systemic
theta_subclavian_R30,dimensionless,90,systemic
E_axillary_R32,J_per_m3,400000,systemic
l_axillary_R32,metre,0.120021,systemic
r_axillary_R32,metre,0.00218463,systemic
theta_axillary_R32,dimensionless,180,systemic
E_brachial_R34,J_per_m3,400000,systemic
l_brachial_R34,metre,0.223119,systemic
r_brachial_R34,metre,0.00196732,systemic
theta_brachial_R34,dimensionless,180,systemic
E_ulnar_T2_R36,J_per_m3,800000,systemic
l_ulnar_T2_R36,metre,0.0297599,systemic
r_ulnar_T2_R36,metre,0.001408,systemic
theta_ulnar_T2_R36,dimensionless,180,systemic
E_common_interosseous_R38,J_per_m3,1600000,systemic
l_common_interosseous_R38,metre,0.0162682,systemic
r_common_interosseous_R38,metre,0.000959006,systemic
theta_common_interosseous_R38,dimensionless,180,systemic
R_T_posterior_interosseous_T3_R40,Js_per_m6,4333780000,systemic
C_T_posterior_interosseous_T3_R40,m6_per_J,1.1847E-11,systemic
R_T_ulnar_T2_R42,Js_per_m6,1064900000,systemic
C_T_ulnar_T2_R42,m6_per_J,4.8212E-11,systemic
R_T_radial_T1_R44,Js_per_m6,1045880000,systemic
C_T_radial_T1_R44,m6_per_J,4.9088E-11,systemic
E_subclavian_L66,J_per_m3,400000,systemic
l_subclavian_L66,metre,0.0494669,systemic
r_subclavian_L66,metre,0.00399235,systemic
theta_subclavian_L66,dimensionless,90,systemic
