variable_name,units,value,data_reference
E_aortic_arch_C64,J_per_m3,systemic,400000
l_aortic_arch_C64,metre,systemic,0.00697955
r_aortic_arch_C64,metre,systemic,0.0124288
theta_aortic_arch_C64,dimensionless,systemic,90
E_aortic_arch_C94,J_per_m3,systemic,400000
l_aortic_arch_C94,metre,systemic,0.0432111
r_aortic_arch_C94,metre,systemic,0.0117401
theta_aortic_arch_C94,dimensionless,systemic,90
E_thoracic_aorta_C96,J_per_m3,systemic,400000
l_thoracic_aorta_C96,metre,systemic,0.00989803
r_thoracic_aorta_C96,metre,systemic,0.0104579
theta_thoracic_aorta_C96,dimensionless,systemic,180
E_thoracic_aorta_C100,J_per_m3,systemic,400000
l_thoracic_aorta_C100,metre,systemic,0.00788038
r_thoracic_aorta_C100,metre,systemic,0.0102897
theta_thoracic_aorta_C100,dimensionless,systemic,180
E_thoracic_aorta_C104,J_per_m3,systemic,400000
l_thoracic_aorta_C104,metre,systemic,0.0155561
r_thoracic_aorta_C104,metre,systemic,0.0100681
theta_thoracic_aorta_C104,dimensionless,systemic,180
E_thoracic_aorta_C108,J_per_m3,systemic,400000
l_thoracic_aorta_C108,metre,systemic,0.00532705
r_thoracic_aorta_C108,metre,systemic,0.00987279
theta_thoracic_aorta_C108,dimensionless,systemic,180
E_thoracic_aorta_C112,J_per_m3,systemic,400000
l_thoracic_aorta_C112,metre,systemic,0.121566
r_thoracic_aorta_C112,metre,systemic,0.00847543
theta_thoracic_aorta_C112,dimensionless,systemic,180
E_abdominal_aorta_C114,J_per_m3,systemic,400000
l_abdominal_aorta_C114,metre,systemic,0.00324767
r_abdominal_aorta_C114,metre,systemic,0.00751533
theta_abdominal_aorta_C114,dimensionless,systemic,180
E_abdominal_aorta_C136,J_per_m3,systemic,400000
l_abdominal_aorta_C136,metre,systemic,0.0139886
r_abdominal_aorta_C136,metre,systemic,0.00742666
theta_abdominal_aorta_C136,dimensionless,systemic,180
E_abdominal_aorta_C164,J_per_m3,systemic,400000
l_abdominal_aorta_C164,metre,systemic,0.00431913
r_abdominal_aorta_C164,metre,systemic,0.00729199
theta_abdominal_aorta_C164,dimensionless,systemic,180
E_abdominal_aorta_C176,J_per_m3,systemic,400000
l_abdominal_aorta_C176,metre,systemic,0.0119773
r_abdominal_aorta_C176,metre,systemic,0.00718902
theta_abdominal_aorta_C176,dimensionless,systemic,180
E_abdominal_aorta_C188,J_per_m3,systemic,400000
l_abdominal_aorta_C188,metre,systemic,0.0540907
