variable_name,units,comp_env,value,data_reference
r_subclavian_L66,metre,systemic,3.99235e-03,to_find_reference
l_subclavian_L66,metre,systemic,49.4669e-03,to_find_reference
theta_subclavian_L66,dimensionless,systemic,90,to_find_reference
E_subclavian_L66,J_per_m3,systemic,0.4e+6,to_find_reference
r_subclavian_L78,metre,systemic,2.90824e-03,to_find_reference
l_subclavian_L78,metre,systemic,41.1396e-03,to_find_reference
theta_subclavian_L78,dimensionless,systemic,90,to_find_reference
E_subclavian_L78,J_per_m3,systemic,0.4e+6,to_find_reference
r_common_carotid_L48_A,metre,systemic,4.36635e-03,to_find_reference
l_common_carotid_L48_A,metre,systemic,30.339e-03,to_find_reference
theta_common_carotid_L48_A,dimensionless,systemic,0,to_find_reference
E_common_carotid_L48_A,J_per_m3,systemic,0.4e+6,to_find_reference
r_common_carotid_L48_B,metre,systemic,4.12756e-03,to_find_reference
l_common_carotid_L48_B,metre,systemic,30.339e-03,to_find_reference
theta_common_carotid_L48_B,dimensionless,systemic,0,to_find_reference
E_common_carotid_L48_B,J_per_m3,systemic,0.4e+6,to_find_reference
r_common_carotid_L48_C,metre,systemic,3.92047e-03,to_find_reference
l_common_carotid_L48_C,metre,systemic,30.339e-03,to_find_reference
theta_common_carotid_L48_C,dimensionless,systemic,0,to_find_reference
E_common_carotid_L48_C,J_per_m3,systemic,0.4e+6,to_find_reference
r_common_carotid_L48_D,metre,systemic,3.57978e-03,to_find_reference
l_common_carotid_L48_D,metre,systemic,30.339e-03,to_find_reference
theta_common_carotid_L48_D,dimensionless,systemic,0,to_find_reference
E_common_carotid_L48_D,J_per_m3,systemic,0.4e+6,to_find_reference
r_common_carotid_R6_A,metre,systemic,4.43053e-03,to_find_reference
l_common_carotid_R6_A,metre,systemic,27.0844e-03,to_find_reference
theta_common_carotid_R6_A,dimensionless,systemic,0,to_find_reference
E_common_carotid_R6_A,J_per_m3,systemic,0.4e+6,to_find_reference
r_common_carotid_R6_B,metre,systemic,4.137e-03,to_find_reference
l_common_carotid_R6_B,metre,systemic,27.0844e-03,to_find_reference
theta_common_carotid_R6_B,dimensionless,systemic,0,to_find_reference
E_common_carotid_R6_B,J_per_m3,systemic,0.4e+6,to_find_reference
r_common_carotid_R6_C,metre,systemic,3.64938e-03,to_find_reference
l_common_carotid_R6_C,metre,systemic,27.0844e-03,to_find_reference
theta_common_carotid_R6_C,dimensionless,systemic,0,to_find_reference
E_common_carotid_R6_C,J_per_m3,systemic,0.4e+6,to_find_reference
r_external_carotid_L62,metre,systemic,2.26547e-03,to_find_reference
l_external_carotid_L62,metre,systemic,61.0127e-03,to_find_reference
theta_external_carotid_L62,dimensionless,systemic,0,to_find_reference
E_external_carotid_L62,J_per_m3,systemic,0.8e+6,to_find_reference
r_external_carotid_R26,metre,systemic,2.26547e-03,to_find_reference
l_external_carotid_R26,metre,systemic,61.0125e-03,to_find_reference
theta_external_carotid_R26,dimensionless,systemic,0,to_find_reference
E_external_carotid_R26,J_per_m3,systemic,0.8e+6,to_find_reference
r_internal_carotid_L50_A,metre,systemic,2.53763e-03,to_find_reference
